TITLE,LOCATION,RUNNINGCOUNT,SHORTDEF,DCC FREQUENCY GROUP,DCC SEMANTIC GROUP,,
NE/4,238,238,interrogative particle attached to the emphatic word in a question,3,Pronouns/Interrogatives,,
DVX,239,239,"leader, general",3,War and Peace,,
PREMO,240,240,"press, pursue, overwhelm",3,War and Peace,,
DOMINA,241,241,household master (female),3,The Household,,
DOMINVS,241,241,"household master, lord",3,The Household,,
MONS,242,242,mountain,3,Geography,,
VTERQVE,243,243,each of two,3,Measurement,,
SAEVVS,244,244,"fierce, raging, wrathful",3,Personality Traits/Characteristics,,
LITVS/2,245,245,shore,3,Geography,,
SOLEO,246,246,be accustomed,3,Personality Traits/Characteristics,,
MILLE,247,247,thousand,3,Measurement,,
EQVVS,248,248,horse,3,Animals/Plants,,
DVRVS,249,249,"hard, tough, harsh",3,Other Senses,,
COGO,250,250,drive together, compel,3,Verbs of Compelling/Directing,
NVMQVAM,251,251,never,3,Time,,
PRIMVM,252,252,"at first, firstly",3,Time,,
MORIOR,253,253,die,3,Life and Being,,
CARMEN/1,254,254,song,3,Writing/Poetry,,
TELVM,255,255,"missile, weapon, spear",3,War and Peace,,
RATIO,256,256,"method, plan, reason",3,Education/Knowledge,,
VMBRA,257,257,"shade, shadow",3,Vision,,
ARS,258,258,skill,3,Education/Knowledge,,
TOT,259,259,so many,3,Measurement,,
DEXTER,260,260,right, dextera -ae f.: right hand,3,Place,
SIGNVM,261,261,"sign, standard, mark",3,War and Peace,,
LAETVS/2,262,262,"glad, joyful",3,Emotions,,
QVALIS/1,263,263,of what kind? what?,3,Pronouns/Interrogatives,,
LEX,264,264,law,3,Justice,,
PERICVLVM,265,265,danger,3,Violence,,
NASCOR,266,266,be born,3,Life and Being,,
EXERCITVS/1,267,267,army,3,War and Peace,,
PEREO/1,268,268,"perish, be lost",3,Violence,,
VENTVS,269,269,wind,3,Air and Fire,,
AVDEO,270,270,"dare, be eager",3,Personality Traits/Characteristics,,
CONTRA/2,271,271,"against, opposite (adv. and prep. +acc.)",3,Place,,
AQVA,272,272,water,3,Earth and Water,,
RAPIO,273,273,"seize, tear away",3,Violence,,
SIMVL/1,274,274,at the same time,3,Time,,
TRISTIS,275,275,"sad, solemn, grim",3,Emotions,,
MVNVS,276,276,"gift, offering; duty, obligation; (pl.) gladiatorial show",3,Social Life,,
IVVENIS/2,277,277,youth,3,People,,
FAMA,278,278,"rumor, fame",3,Speech/Oratory,,
ASSVM/1,279,279,be present,3,Place,,
VERO/3,280,280,"in fact, certainly, without doubt",3,Conjunctions/Adverbs,,
PAR/2,281,281,equal,3,Measurement,,
VESTER,282,282,your,3,Pronouns/Interrogatives,,
FLVMEN,283,283,"stream, river",3,Earth and Water,,
QVICVMQVE/1,284,284,"who-, whatever",3,Pronouns/Interrogatives,,
CERTVS,285,285,"sure, fixed",3,Measurement,,
FORTIS,286,286,brave,3,Personality Traits/Characteristics,,
PLACEO,287,287,please,3,Social Life,,
VERTO,288,288,turn,3,Motion,,
SERVO,289,289,"save, watch over",3,The Household,,
HONOR,290,290,"honor, glory; office, post",3,The City,,
DIGNVS,291,291,worthy,3,Personality Traits/Characteristics,,
CVNCTVS,292,292,entire all together,3,Measurement,,
TOLLO,293,293,"raise up, destroy",3,Violence,,
NEGO,294,294,"deny, refuse",3,Speech/Oratory,,
VETVS,295,295,old,3,Time,,
EQVES,296,296,"horseman, knight",3,War and Peace,,
TRADO,297,297,"hand over, yield",3,Business/Money,,
FLAMMA,298,298,"flame, fire",3,Air and Fire,,
LVX,299,299,light of day,3,Air and Fire,,
VNDE/1,300,300,from where,3,Place,,
REDEO/1,301,301,"go back, return",4,Motion,,
SENTIO,302,302,"perceive, feel, hear, see",4,Other Senses,,
AVRVM,303,303,gold,4,Business/Money,,
CEDO/1,304,304,"go, move; yield",4,War and Peace,,
QVO/2,305,305,"for which reason; to or in what place; to what end, for what purpose?",4,Pronouns/Interrogatives,,
SAXVM,306,306,"rock, cliff, crag",4,Earth and Water,,
VE,307,307,or (postpositive enclitic),4,Conjunctions/Adverbs,,
AETAS,308,308,"age, time of life",4,Lengths of Time,,
FELIX,309,309,lucky,4,Personality Traits/Characteristics,,
LOQVOR,310,310,"speak, talk",4,Speech/Oratory,,
QVANTVS/1,311,311,"(interr.) how great? (rel.) of what size, amount, etc. (as subst.) what amount? (rel.) which amount; quantī, at what price? (rel.) at which price",4,Pronouns/Interrogatives,,
COEPIO,312,312,begin,4,Time,,
IGITVR,313,313,therefore,4,Conjunctions/Adverbs,,
IVS/1,314,314,"right, justice, law",4,Justice,,
MVTO/2,315,315,change,4,Making/Doing,,
INVENIO,316,316,find, discover,4,Travel,
PRINCEPS/1,317,317,"first, chief; (as subst.) leader, person in charge",4,The City,,
OPS,318,318,"assistance, resources",4,Business/Money,,
RECIPIO,319,319,"take back, receive; sē recipere, betake oneself, go",4,Verbs of Transport,,
SOL,320,320,sun,4,Air and Fire,,
CONSVL,321,321,consul,4,The City,,
ORBIS,322,322,circle, orbis terrārum: world,4,Geography,
TVRBA,323,323,"crowd, uproar",4,The City,,
AGER,324,324,field,4,Animals/Plants,,
SOLVO,325,325,"release, set sail",4,Travel,,
VITIVM,326,326,"flaw, fault, crime",4,Justice,,
VVLNVS,327,327,wound,4,Violence,,
INDE,328,328,"from there, from then",4,Place,,
SENATVS,329,329,senate,4,The City,,
VTOR,330,330,"use, consume, employ (+ abl.)",4,Making/Doing,,
COPIA,331,331,abundance, (pl.) troops,4,War and Peace,
OPVS/1,332,332,work,4,Business/Money,,
COLO/2,333,333,"inhabit, cultivate",4,Animals/Plants,,
VOTVM,334,334,"solemn promise, vow; hope",4,Religion,,
IVGVM,335,335,"yoke; ridge, chain of hills",4,Animals/Plants,,
QVA/1,336,336,"where, how",4,Pronouns/Interrogatives,,
TELLVS,337,337,earth,4,Earth and Water,,
NVMERVS,338,338,"number, amount",4,Measurement,,
COGNOSCO,339,339,"learn, understand",4,Education/Knowledge,,
VICTOR,340,340,conqueror,4,War and Peace,,
SATIS/2,341,341,"enough, sufficient, sufficiently",4,Measurement,,
PATRIA,342,342,"fatherland, country",4,Geography,,
SEV/1,343,343,whether, seu ... seu: whether ... or → sīve,4,Conjunctions/Adverbs,
CASVS,344,344,"a fall; chance, accident",4,Violence,,
FRANGO,345,345,"break, shatter",4,Violence,,
CIVITAS,346,346,"citizenship, state",4,The City,,
NOSCO,347,347,"learn, know",4,Education/Knowledge,,
PROELIVM,348,348,battle,4,War and Peace,,
ERIPIO,349,349,"snatch away, rescue, save",4,Verbs of Transport,,
MVNDVS/2,350,350,"world, universe, heavens",10,Personality Traits/Characteristics,,
CVRSVS,351,351,"course, advance",4,Athletics,,
VIX,352,352,scarcely,4,Conjunctions/Adverbs,,
NAVIS,353,353,ship,4,Travel,,
LACRIMA,354,354,tear,4,Emotions,,
HVMANVS,355,355,human,4,People,,
MOLLIS,356,356,"soft, yielding, gentle",4,Other Senses,,
MANEO,357,357,remain,4,Travel,,
AGMEN,358,358,line of march,4,War and Peace,,
SIDVS,359,359,"star, constellation",4,Air and Fire,,
GLORIA,360,360,"glory, fame",4,Social Life,,
DIV,361,361,for a long time,4,Time,,
SIVE/1,362,362,whether, sīve ... sīve: whether ... or → seu,4,Conjunctions/Adverbs,
TAMQVAM/1,363,363,"so as, just as",4,Conjunctions/Adverbs,,
FVGA,364,364,"flight, route",4,Travel,,
TVTVS,365,365,"safe, protected",4,War and Peace,,
AVRIS,366,366,ear,4,The Body,,
ALIENVS/2,367,367,"foreign, strange",4,Geography,,
HVC,368,368,to this place,4,Place,,
TACEO,369,369,"be silent; tacitus -a -um, silent",4,Other Senses,,
LEGIO,370,370,legion,4,War and Peace,,
OSTENDO,371,371,"show, hold out",4,Other Senses,,
SOCIVS/2,372,372,"friendly, allied; socius -ī m.: partner, comrade",4,Social Life,,
PROSVM/1,373,373,"be of use, do good, help (+ dat.)",4,Social Life,,
ARA,374,374,altar,4,Religion,,
LVMEN,375,375,light,4,Vision,,
TEGO,376,376,"cover, conceal",4,Deception,,
TVRPIS,377,377,"ugly, unsightly; disgraceful",4,Other Senses,,
VOLVPTAS,378,378,"pleasure, enjoyment",4,Social Life,,
ADHVC,379,379,"thus far, to this point",4,Place,,
GRATIA,380,380,"favor, influence, gratitude",4,Social Life,,
INIVRIA,381,381,"injustice, wrong, affront",4,Justice,,
LATVS/2,382,382,"side, flank",4,The Body,,
DVLCIS,383,383,sweet,4,Other Senses,,
POSTQVAM,384,384,after,4,Time,,
EXTREMVS,385,385,"farthest, situated at the end or tip, extreme",4,Geography,,
TECTVM,386,386,"roof; building, house",4,The House,,
INGENIVM,387,387,"disposition, ability, talent",4,Education/Knowledge,,
PAX,388,388,peace,4,War and Peace,,
CANO,389,389,sing,4,Writing/Poetry,,
IVVO,390,390,"help, assist; please, delight",4,Social Life,,
CAMPVS/1,391,391,"plain, field",4,Earth and Water,,
CLAVDO/1,392,392,"close, shut",4,The House,,
DOCEO,393,393,teach,4,Education/Knowledge,,
EXCIPIO,394,394,take out,4,Verbs of Transport,,
CLARVS,395,395,"clear, distinguished",4,Personality Traits/Characteristics,,
ILLIC/2,396,396,"at that place, there; illinc: from that place",4,Place,,
PROCVL,397,397,at a distance,4,Place,,
SACER,398,398,"holy, sacred",4,Religion,,
MORA,399,399,"delay, hindrance",4,Time,,
LONGE,400,400,"far, far off",,,,
SVPER/2,401,401,over (adv. and prep. +acc.),5,Place,,
ERRO/2,402,402,"go astray, wander",5,Travel,,
SEDES,403,403,"seat, abode, habitation",5,The House,,
CVR/1,404,404,why?,5,Pronouns/Interrogatives,,
COMA,405,405,"hair, tresses",5,The Body,,
AIO,406,406,"say, affirm, say yes; ut āiunt: as they say",5,Speech/Oratory,,
GAVDEO,407,407,rejoice,5,Emotions,,
BEATVS,408,408,"happy, blessed, prosperous, fortunate",5,Personality Traits/Characteristics,,
PERVENIO,409,409,"arrive, reach",5,Travel,,
VERVS,410,410,TRUE,5,Speech/Oratory,,
INCIPIO,411,411,begin,5,Time,,
PARCO,412,412,"spare, be sparing of (+ dat.)",5,War and Peace,,
VESTIS,413,413,"garment, robe, clothing",5,Life and Being,,
SIMILIS,414,414,"like, similar",5,Personality Traits/Characteristics,,
CAEDES,415,415,"killing, slaughter",5,Violence,,
ORDO,416,416,"order, rank",5,War and Peace,,
OPTO,417,417,"choose, select",5,Personality Traits/Characteristics,,
VIRGO,418,418,"maiden, virgin, girl",5,People,,
LEGO/2,419,419,"gather, choose, read",5,Writing/Poetry,,
AVRA,420,420,breeze,5,Air and Fire,,
IMPETVS,421,421,attack,5,Violence,,
FORMA,422,422,shape, beauty,5,Other Senses,
PRAESTO/1,423,423,"excel, exhibit",5,Other Senses,,
AEQVOR,424,424,"level surface, sea, plain",5,Earth and Water,,
MISCEO,425,425,mix,5,Earth and Water,,
SPATIVM,426,426,space,5,Air and Fire,,
TANDEM,427,427,finally,5,Conjunctions/Adverbs,,
INFERVS,428,428,low, īnferior: lower, īnfimus or īmus: lowest,5,Geography
METVO,429,429,"to fear, to dread",5,Emotions,,
TEMPTO,430,430,"try, test",5,Making/Doing,,
TRANSEO/1,431,431,go across,5,Travel,,
VLTIMVS,432,432,"farthest, final, last, ultimate",5,Geography,,
ADDO,433,433,give to,5,Social Life,,
GRATVS,434,434,pleasant, grateful,5,Personality Traits/Characteristics,
LAVDO,435,435,praise,5,Social Life,,
NONDVM,436,436,not yet,5,Conjunctions/Adverbs,,
IMPONO,437,437,"put in, put on, impose, levy upon",5,Measurement,,
SOMNVS,438,438,"sleep, slumber; (pl.) dreams",5,Life and Being,,
ACIES,439,439,edge, line of battle,5,War and Peace,
RVRSVS,440,440,"back, again",5,Place,,
CVPIO,441,441,desire,5,Love,,
EXSPECTO,442,442,"watch, wait, expect",5,Vision,,
COMPONO,443,443,"build, construct, arrange",5,Making/Doing,,
LAVS,444,444,"praise, glory",5,Social Life,,
ABSVM/1,445,445,"be away, absent",5,Travel,,
VSVS,446,446,"use, experience",5,Education/Knowledge,,
VELVT/1,447,447,"even as, just as",5,Conjunctions/Adverbs,,
COMES,448,448,"companion, comrade; attendant, follower",5,Social Life,,
OB,449,449,"against, on account of (+acc)",5,Place,,
STVDIVM,450,450,"eagerness, zeal",5,Emotions,,
FACILIS,451,451,easy,5,Personality Traits/Characteristics,,
NVMEN,452,452,"divine will, deity",5,Religion,,
SAPIENS/2,453,453,"wise; (as subst.) wise man, sage, philosopher",5,Education/Knowledge,,
SVMO,454,454,take up,5,Motion,,
NOBILIS/2,455,455,"distinguished, noble; (as subst.) a nobleman or woman",5,Personality Traits/Characteristics,,
QVIN/1,456,456,"(adv.) indeed, in fact; (conjunction) so that ... not (+ subj.)",5,Conjunctions/Adverbs,,
FLEO,457,457,weep,5,Emotions,,
NOLO,458,458,be unwilling,5,Emotions,,
PLENVS,459,459,full,5,Measurement,,
ADVERSVS/2,460,460,"(adv. and prep.) facing, opposite, against, opposed (to)",5,War and Peace,,
NEMVS,461,461,"grove, forest",5,Animals/Plants,,
CARVS,462,462,dear,5,Personality Traits/Characteristics,,
DESVM/1,463,463,be lacking,5,Business/Money,,
LEGATVS,464,464,"lieutenant, envoy",5,War and Peace,,
DISCO,465,465,learn,5,Education/Knowledge,,
FVROR/1,466,466,"rage, fury",5,Emotions,,
AMNIS,467,467,"river, torrent",5,Earth and Water,,
